"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,322800310,"B","Break"
"JPN","Japan","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,398818760,,
"JPN","Japan","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,413180780,,
"JPN","Japan","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,432397640,,
"JPN","Japan","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,428677350,,
"JPN","Japan","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,438463770,,
"JPN","Japan","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,423096220,,
"NLD","Netherlands","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,91830000,,
"NLD","Netherlands","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,93800000,,
"NLD","Netherlands","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,94000000,,
"NLD","Netherlands","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,91760000,,
"NLD","Netherlands","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,63341000,"B","Break"
"NLD","Netherlands","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,64304000,,
"NLD","Netherlands","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,65328000,,
"NLD","Netherlands","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,66237000,,
"NLD","Netherlands","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,66589000,,
"NZL","New Zealand","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,44545000,,
"NZL","New Zealand","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,48197000,,
"NZL","New Zealand","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,47422000,,
"NZL","New Zealand","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,51263000,,
"NZL","New Zealand","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,49753000,,
"POL","Poland","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,46472000,,
"POL","Poland","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,45411000,,
"POL","Poland","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,45730000,,
"POL","Poland","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,46527989,,
"POL","Poland","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,50138000,"B","Break"
"POL","Poland","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,50488000,,
"POL","Poland","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,53587000,,
"POL","Poland","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,57477000,,
"POL","Poland","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,63815000,,
"SVK","Slovak Republic","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,29324230,,
"SVK","Slovak Republic","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,24458184,,
"SVK","Slovak Republic","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,19483704,,
"SVK","Slovak Republic","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,21401009,,
"SVK","Slovak Republic","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,20127071,,
"SVK","Slovak Republic","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,18878952,,
"SVK","Slovak Republic","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,20103543,,
"ESP","Spain","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,681693978.513,,
"ESP","Spain","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,674734873.768,,
"ESP","Spain","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,636414514.702,,
"ESP","Spain","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,649479339.388,,
"ESP","Spain","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,647930543.784,,
"ESP","Spain","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,657780261.038,,
"ESP","Spain","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,621835375.356,,
"ESP","Spain","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,476458939,"B","Break"
"ESP","Spain","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,508758036,,
"SWE","Sweden","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,38133471,,
"SWE","Sweden","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,38681349,,
"SWE","Sweden","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,39603202,,
"SWE","Sweden","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,39743391,,
"SWE","Sweden","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,39915883,,
"SWE","Sweden","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,40845529,,
"SWE","Sweden","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,42653629,,
"SWE","Sweden","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,44854409,,
"SWE","Sweden","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,46202731,,
"TUR","Turkey","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,510961000,,
"TUR","Turkey","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,555145000,,
"TUR","Turkey","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,558270000,,
"TUR","Turkey","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,556803000,,
"TUR","Turkey","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,557459000,,
"TUR","Turkey","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,575871000,,
"TUR","Turkey","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,588786000,,
"TUR","Turkey","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,605608000,,
"GBR","United Kingdom","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,367635000,,
"GBR","United Kingdom","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,387448000,,
"GBR","United Kingdom","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,361398000,,
"GBR","United Kingdom","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,387329000,,
"GBR","United Kingdom","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,388240000,,
"GBR","United Kingdom","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,373610000,,
"GBR","United Kingdom","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,349550000,,
"GBR","United Kingdom","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,377101000,,
"BGR","Bulgaria","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,6493000,,
"BGR","Bulgaria","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,5900000,,
"BGR","Bulgaria","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,5696000,,
"BGR","Bulgaria","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,6394000,,
"BGR","Bulgaria","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,6801000,,
"BGR","Bulgaria","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,7247048,,
"BGR","Bulgaria","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,7620593,,
"BGR","Bulgaria","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,8045535,,
"BGR","Bulgaria","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,9035330,,
"HRV","Croatia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,28259000,,
"HRV","Croatia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,27196000,,
"HRV","Croatia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,25652000,,
"HRV","Croatia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,30347000,,
"HRV","Croatia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,28760000,,
"HRV","Croatia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,29767000,,
"HRV","Croatia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,28040000,,
"HRV","Croatia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,24214000,,
"HRV","Croatia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,18137000,"B","Break"
"EST","Estonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,1670000,,
"EST","Estonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,1382000,,
"EST","Estonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,1497000,,
"EST","Estonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,1651000,,
"EST","Estonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,1721000,,
"EST","Estonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,1825000,,
"EST","Estonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,1890000,,
"EST","Estonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,2012000,,
"EST","Estonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,2214000,,
"ISR","Israel","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,15325500,,
"ISR","Israel","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,15599000,,
"ISR","Israel","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,15901200,,
"ISR","Israel","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,15865300,,
"ISR","Israel","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,16259800,,
"ISR","Israel","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,16451800,,
"ISR","Israel","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,16413300,,
"ISR","Israel","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,17065700,,
"ISR","Israel","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,17315100,,
"LVA","Latvia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,7678334,"B","Break"
"LVA","Latvia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,7288832,,
"LVA","Latvia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,8446934,,
"LVA","Latvia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,6541646,,
"LVA","Latvia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,7233084,,
"LTU","Lithuania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,8048000,,
"LTU","Lithuania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,6442000,,
"LTU","Lithuania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,6473000,,
"LTU","Lithuania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,6779000,,
"LTU","Lithuania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,6836000,,
"LTU","Lithuania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,7069000,,
"LTU","Lithuania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,7000000,,
"LTU","Lithuania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,7174700,,
"LTU","Lithuania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,6910400,,
"MKD","Former Yugoslav Republic of Macedonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,1648073,,
"MKD","Former Yugoslav Republic of Macedonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,1517810,,
"MKD","Former Yugoslav Republic of Macedonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,1461185,,
"MKD","Former Yugoslav Republic of Macedonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,1417868,,
"MKD","Former Yugoslav Republic of Macedonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,1339946,,
"MKD","Former Yugoslav Republic of Macedonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,1275800,,
"MKD","Former Yugoslav Republic of Macedonia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,1273370,,
"ROU","Romania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,17367000,,
"ROU","Romania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,14658000,,
"ROU","Romania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,13212000,,
"ROU","Romania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,14851134,,
"ROU","Romania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,15799875,,
"ROU","Romania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,15830616,,
"ROU","Romania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,16467780,,
"ROU","Romania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,18985026,,
"ROU","Romania","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,20462848,,
"SVN","Slovenia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,3962756,,
"SVN","Slovenia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,4077480,,
"SVN","Slovenia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,3909368,,
"SVN","Slovenia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,3924164,,
"SVN","Slovenia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,3733459,,
"SVN","Slovenia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,3616782,,
"SVN","Slovenia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,3500233,,
"SVN","Slovenia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,3727256,,
"SVN","Slovenia","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,3837761,,
"ZAF","South Africa","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,149000000,,
"ZAF","South Africa","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,128400000,,
"ZAF","South Africa","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,130800000,,
"ZAF","South Africa","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,114800000,,
"ZAF","South Africa","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,121200000,,
"ZAF","South Africa","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,111300000,,
"ZAF","South Africa","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,113100000,,
"ZAF","South Africa","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,102486000,,
"ZAF","South Africa","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,103418000,,
"EST","Estonia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2008","2008","NBR","Number","0","Units",,,1120000,,
"EST","Estonia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2009","2009","NBR","Number","0","Units",,,944000,,
"EST","Estonia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2010","2010","NBR","Number","0","Units",,,1025000,,
"EST","Estonia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2011","2011","NBR","Number","0","Units",,,1117000,,
"EST","Estonia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2012","2012","NBR","Number","0","Units",,,1151000,,
"EST","Estonia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2013","2013","NBR","Number","0","Units",,,1220000,,
"EST","Estonia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2014","2014","NBR","Number","0","Units",,,1290000,,
"EST","Estonia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2015","2015","NBR","Number","0","Units",,,1379000,,
"EST","Estonia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2016","2016","NBR","Number","0","Units",,,1495000,,
"SVN","Slovenia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2008","2008","NBR","Number","0","Units",,,2174865,,
"SVN","Slovenia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2009","2009","NBR","Number","0","Units",,,2234372,,
"SVN","Slovenia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2010","2010","NBR","Number","0","Units",,,2137856,,
"SVN","Slovenia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2011","2011","NBR","Number","0","Units",,,2178671,,
"SVN","Slovenia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2012","2012","NBR","Number","0","Units",,,2045534,,
"SVN","Slovenia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2013","2013","NBR","Number","0","Units",,,1972671,,
"SVN","Slovenia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2014","2014","NBR","Number","0","Units",,,1945189,,
"SVN","Slovenia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2015","2015","NBR","Number","0","Units",,,2051804,,
"SVN","Slovenia","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2016","2016","NBR","Number","0","Units",,,2096507,,
"LUX","Luxembourg","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,181504,,
"LUX","Luxembourg","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,170324,,
"LUX","Luxembourg","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,137967,,
"LUX","Luxembourg","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,171550,,
"LUX","Luxembourg","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,233241,,
"LUX","Luxembourg","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,310659,,
"LUX","Luxembourg","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,339575,,
"LUX","Luxembourg","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,312535,,
"LUX","Luxembourg","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,305576,,
"NOR","Norway","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2008","2008","NBR","Number","0","Units",,,51610000,,
"NOR","Norway","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2009","2009","NBR","Number","0","Units",,,50960000,,
"NOR","Norway","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2010","2010","NBR","Number","0","Units",,,53820000,,
"NOR","Norway","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2011","2011","NBR","Number","0","Units",,,50010000,,
"NOR","Norway","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2012","2012","NBR","Number","0","Units",,,43530000,,
"NOR","Norway","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2013","2013","NBR","Number","0","Units",,,53130000,,
"NOR","Norway","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2014","2014","NBR","Number","0","Units",,,56060000,,
"NOR","Norway","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2015","2015","NBR","Number","0","Units",,,48060000,,
"NOR","Norway","ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","2016","2016","NBR","Number","0","Units",,,51840000,,
"NOR","Norway","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2008","2008","NBR","Number","0","Units",,,9840000,,
"NOR","Norway","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2009","2009","NBR","Number","0","Units",,,9710000,,
"NOR","Norway","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2010","2010","NBR","Number","0","Units",,,10320000,,
"NOR","Norway","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2011","2011","NBR","Number","0","Units",,,9000000,,
"NOR","Norway","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2012","2012","NBR","Number","0","Units",,,9540000,,
"NOR","Norway","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2013","2013","NBR","Number","0","Units",,,10500000,,
"NOR","Norway","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2014","2014","NBR","Number","0","Units",,,11320000,,
"NOR","Norway","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2015","2015","NBR","Number","0","Units",,,10720000,,
"NOR","Norway","ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","2016","2016","NBR","Number","0","Units",,,10210000,,
"NOR","Norway","ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","2008","2008","NBR","Number","0","Units",,,13590000,,
"NOR","Norway","ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","2009","2009","NBR","Number","0","Units",,,11280000,,
"NOR","Norway","ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","2010","2010","NBR","Number","0","Units",,,12190000,,
"NOR","Norway","ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","2011","2011","NBR","Number","0","Units",,,12390000,,
"NOR","Norway","ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","2012","2012","NBR","Number","0","Units",,,10460000,,
"NOR","Norway","ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","2013","2013","NBR","Number","0","Units",,,11370000,,
"NOR","Norway","ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","2014","2014","NBR","Number","0","Units",,,11330000,,
"NOR","Norway","ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","2015","2015","NBR","Number","0","Units",,,9310000,,
