"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,113053000,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,28010188.719,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,27850329.38,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,27613968.13,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,29852894.686,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,29219674.636,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,29215115.491,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,29412333.834,,
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,28324773.965,"P","Provisional value"
"CZE","Czech Republic","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,31960487.976,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,14963956,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,14658166,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,14634452,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,9860294,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,9863296,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,9907430,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,14620276,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,14953574,"E","Estimated value"
"DNK","Denmark","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,15207991.619,"E","Estimated value"
"FIN","Finland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,31091000,,
"FIN","Finland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,31015000,,
"FIN","Finland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,34531000,"B","Break"
"FIN","Finland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,35561000,,
"FIN","Finland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,30915000,"B","Break"
"FIN","Finland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,30479000,,
"FIN","Finland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,28850000,,
"FIN","Finland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,29160000,,
"FIN","Finland","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,29790000,,
"FRA","France","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,200675000,,
"FRA","France","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,202063000,,
"FRA","France","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,194125000,,
"FRA","France","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,198784000,,
"FRA","France","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,198465882,,
"FRA","France","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,197241628,,
"FRA","France","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,196232021,,
"FRA","France","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,191643914,,
"FRA","France","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,187942430,,
"DEU","Germany","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,108061000,,
"DEU","Germany","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,108608000,,
"DEU","Germany","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,113116000,,
"DEU","Germany","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,118710000,,
"DEU","Germany","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,122328000,"B","Break"
"DEU","Germany","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,123646000,,
"DEU","Germany","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,127791000,,
"DEU","Germany","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,131817000,,
"DEU","Germany","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,136009000,,
"GRC","Greece","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,12295570,,
"GRC","Greece","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,12490662,,
"GRC","Greece","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2010","2010","NBR","Number","0","Units",,,10085131,,
"GRC","Greece","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2011","2011","NBR","Number","0","Units",,,8176852,,
"GRC","Greece","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2012","2012","NBR","Number","0","Units",,,6257413,,
"GRC","Greece","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2013","2013","NBR","Number","0","Units",,,4615230,,
"GRC","Greece","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2014","2014","NBR","Number","0","Units",,,5340163,,
"GRC","Greece","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2015","2015","NBR","Number","0","Units",,,4841525,,
"GRC","Greece","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2016","2016","NBR","Number","0","Units",,,4590484,,
"HUN","Hungary","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2008","2008","NBR","Number","0","Units",,,21494353,,
"HUN","Hungary","TRIPS_OVERNIGHT","Overnight visitors (tourists)","2009","2009","NBR","Number","0","Units",,,17728205,,
